,r,phi,R,rho
0,0.00692,0.08329,6.823021347127716,5.431513353920099e+19
1,1.04637,0.08214,1031.7059027448017,5.282561045710847e+19
2,2.08581,0.07883,2056.578924285038,4.865395852480096e+19
3,3.12526,0.07371,3081.4618056827117,4.253906596903691e+19
4,4.1647,0.06724,4106.334827222948,3.5398962778755523e+19
5,5.20415,0.05997,5131.217708620622,2.8158092102574952e+19
6,6.24359,0.0524,6156.090730160858,2.1497982322150515e+19
7,7.28304,0.04497,7180.973611558531,1.583364496469796e+19
8,8.32248,0.03798,8205.846633098769,1.1293928871878314e+19
9,9.36193,0.03164,9230.729514496441,7.838050857936866e+18
10,10.40137,0.02605,10255.602536036677,5.313131719002077e+18
11,11.44081,0.02122,11280.475557576914,3.525541949430918e+18
12,12.48026,0.01714,12305.358438974587,2.3001531988988288e+18
13,13.51971,0.01374,13330.24132037226,1.4781162546767462e+18
14,14.55915,0.01095,14355.114341912498,9.387789993960332e+17
15,15.59859,0.00867,15379.987363452734,5.885363918825752e+17
16,16.63803,0.00683,16404.86038499297,3.652384868115812e+17
17,17.67747,0.00536,17429.733406533203,2.2493897242382998e+17
18,18.71693,0.00419,18454.62614778832,1.374558327916157e+17
19,19.0634,0.00386,18796.24062844429,1.1665671340798678e+17
20,20.10285,0.003,19821.123509841964,7.0465678318336136e+16
21,21.1423,0.00233,20846.006391239636,4.250568011360167e+16
